Hypothesis,Ground Truth,Response
मात्र पचास हजार रुपये में शुरू से घर लाी एक सौ चालीस किलोमीटर की रेंज वाली य लेकटक सकूटजाने फीचरस,मात्र पचास हजार रुपए में शोरूम से घर लाइए एक सौ चालीस किलोमीटर की रेंज वाली ये इलेक्ट्रिक स्कूटर जाने फीचर्स,मात्र पचास हजार रुपये में शुरू से घर लाने वाली एक सौ चालीस किलोमीटर की रेंज वाली इलेक्ट्रिक स्कूटर के फीचर्स
इसी स्कूटो को कंपनी ने मार्केट में,इसी स्कूटर को कंपनी ने मार्केट में,इसी स्कूटर को कंपनी ने मार्केट में
बावन हजार नौ सौ रुपये एक्स शोरूम की शुरूआती कीमत से लेकर,बावन हजार नौ सौ रुपए एक्स शोरूम की शुरूवाती कीमत से लेकर,बावन हजार नौ सौ रुपये एक्स-शोरूम की शुरुआती कीमत से लेकर
चौरानवे हजार नौ सौ रुपएेके साथ लॉन्च किया है,चौरानवे हजार नौ सौ रुपए एक्स के साथ लॉन्च किया है,चौरानवे हजार नौ सौ रुपये के साथ लॉन्च किया है।
खरीद सकते हैं,खरीद सकते हैं,खरीद सकते हैं
मोटर से लेस किया गया है,मोटर से लेस किया गया है,मोटर से लैस किया गया है
बेटरी तीन साल की और मोटर दो साल की बारटी के साथ आती है,बैटरी तीन साल की और मोटर दो साल की वारंटी के साथ आती हैं,बेटरी तीन साल की और मोटर दो साल की वारंटी के साथ आती है।
रही बात रेंज को तो कंपनी ने अदुसार एसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमी,रही बात रेंज को तो कंपनी के अनुसार इसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमीटर,रही बात रेंज की तो कंपनी के अनुसार ऐसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमीटर तक चल सकता है।
तक चला सकती हैं,तक चला सकते हैं,तक चला सकती हैं
फीचर्स भी जबर्दस्त वहीं फीचर् की बात करें तो इसमें डिजिटल स्पीडो मीटर डिजिटल स्पीड मीटर रिमोट की चाइल लॉक आरामदायक सीट साधन कंसोल,फीचर्स भी जबरदस्त वहीं फीचर्स की बात करें तो इसमें डिजिटल स्पीड़ों मीटर डजिटल स्पीड मीटर रिमोट की चाइल्ड लॉक आरामदायक सीट साधन कंसोल,"फीचर्स भी जबर्दस्त हैं। वहीं फीचर की बात करें तो इसमें डिजिटल स्पीडोमीटर, रिमोट की, चाइल्ड लॉक, आरामदायक सीट और साधन कंसोल शामिल हैं।"
