filename,ground_truth,Ourmodel,Original_ID
0520112024_0002_chunk_001,मात्र पचास हजार रुपए में शोरूम से घर लाइए एक सौ चालीस किलोमीटर की रेंज वाली ये इलेक्ट्रिक स्कूटर जाने फीचर्स,मात्र पचास हजार रुपये में शुरू से घर लाी एक सौ चालीस किलोमीटर की रेंज वाली य लेकटक सकूटजाने फीचरस,0
0520112024_0002_chunk_005,इसी स्कूटर को कंपनी ने मार्केट में,इसी स्कूटो को कंपनी ने मार्केट में,1
0520112024_0002_chunk_006,बावन हजार नौ सौ रुपए एक्स शोरूम की शुरूवाती कीमत से लेकर,बावन हजार नौ सौ रुपये एक्स शोरूम की शुरूआती कीमत से लेकर,2
0520112024_0002_chunk_007,चौरानवे हजार नौ सौ रुपए एक्स के साथ लॉन्च किया है,चौरानवे हजार नौ सौ रुपएेके साथ लॉन्च किया है,3
0520112024_0002_chunk_009,खरीद सकते हैं,खरीद सकते हैं,4
0520112024_0002_chunk_011,मोटर से लेस किया गया है,मोटर से लेस किया गया है,5
0520112024_0002_chunk_012,बैटरी तीन साल की और मोटर दो साल की वारंटी के साथ आती हैं,बेटरी तीन साल की और मोटर दो साल की बारटी के साथ आती है,6
0520112024_0002_chunk_013,रही बात रेंज को तो कंपनी के अनुसार इसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमीटर,रही बात रेंज को तो कंपनी ने अदुसार एसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमी,7
0520112024_0002_chunk_014,तक चला सकते हैं,तक चला सकती हैं,8
0520112024_0002_chunk_015,फीचर्स भी जबरदस्त वहीं फीचर्स की बात करें तो इसमें डिजिटल स्पीड़ों मीटर डजिटल स्पीड मीटर रिमोट की चाइल्ड लॉक आरामदायक सीट साधन कंसोल,फीचर्स भी जबर्दस्त वहीं फीचर्  की बात करें तो इसमें डिजिटल स्पीडो मीटर डिजिटल स्पीड मीटर रिमोट की चाइल लॉक आरामदायक सीट साधन कंसोल,9
0520112024_0002_chunk_016,एंटी थेफ्ट अलार्म यूएसबी चार्जिंग पोर्ट क्रूस कंट्रोल लो बैटरी अलर्ट सिस्टम एलइडी हेडलाइट्स पीछे की तरफ बल्ब दिया गया है,एनटीथरीफ टलाम यूएसपी चार्जिंग पोर्ट क्रूस कंट्रोल लू मेटरी अलक सिस्टम एलईडी हेडलाइफ्स पीछे की तरफ बन दिया गया है,10
0520112024_0002_chunk_019,एक हजार एक सौ पैंसठ मिलीमीटर और ग्राउंड क्लीयरेंस एक सौ पैंसठ मिलीमीटर के अलावा स्कूटर की वजन पचहत्तर किलोग्राम है,एक हजार एक सौ पैंसठ मिलीमीटर और ग्राउंड केयर इस एक सौ पैंसठ मिलीमीटर के अलावा स्कूट की वजन पचहत्तर किलोग्राम है,11
0520112024_0002_chunk_020,वहीं आगे और पीछे की ओर हाइड्रोलिक वही बेहतर ब्रेकिंग सिस्टम की लिहाज से डिस्क ब्रेक दिया गया है,वहीं आगे और पीछे की ओर हाइड्रोनिक वही बेहतर ब्रेकिंग सिस्टम के लिए हाद से डिस्कप्रेक दिया गया है,12
0520112024_0002_chunk_022,आप बावन हजार नौ सौ रुपए एक्स शोरूम की शुरुवाती कीमत से लेकर,बावन हजार नौ सौ रुपये एक्स शोरन की शुरूआती कीमत से लेकर,13
0520112024_0002_chunk_026,हालांकि इस फाइनेंस प्लान के बारे में अधिक जानकारी आपको बाइक देखो कि वेबसाइट पर मिल जाएगी विडियो को लाइक करें,हालांकि इस फाइनल्स प्लान के बारे में अधिक जानकारी आपको बाइट देखो गी वेबसाइट पर मिल जाएगी मीडिया को लाइक करें,14
0520112024_0002_chunk_027,कमेंट करें शेयर करें और सब्सक्राइब जरूर करें,कमेंट करे शेयर करें और सब्स्क्राइब जरूर करें,15
0520112024_0003_chunk_001,नमस्कार आशा करते हैं कि आप सब लोग ही लैम्प बना रहे होंगे और जैसे जैसे दिवाली पास आ रही है आपका,नमस्कार आशा करते हैं कि आप सब लोग ही लैम बना रहे होंगे और जैसे जैसे दिवाली पास आरी आा,16
0520112024_0003_chunk_004,डिस्क्रिप्शन बॉक्स में जो लिंक दिया है वहां से इसकी़ पीडीएफ को डाउनलोड कर लें और उसकी दस कॉपी निकाल ले,डिस्क्रिप्शन बॉक्स में जो लिंक दिया है वहां से इसके मीडिएफ को डाउनलोड कर लें और उसकी दस कोपी निकाल,17
0520112024_0003_chunk_006,तों ये बहुत ही खूबसूरत लैम्प बनके तैयार हो गया है और जितना सुंदर ये लैम्प है उतनी सुंदर इसके पीछे की गणित,ोय बहुत ही खूबसूरत लगबरके तैयार हो गया ै और जइता सबरी लाइ पछकी,18
0520112024_0003_chunk_007,तों ये लैम्प बीस टाइमलर फेसेस से मिलके बना हुआ है और इसे आइकोसा हेडरन भी हम इसी लिए बोलते हैं क्योंकि आइकोसा,लैबीस टाइमिलर फेसेस से मिल के बना हुआ है और इसको आइकोसा एडरम भी हम इसीलिए बोलते हैं क्योंकि आइकोस,19
